date,yield,close,close_1
2018/3/15,3.8257,198.0614,96.31526684
2018/3/16,3.8154,198.1343,96.32482271
2018/3/19,3.8104,198.2357,96.32946217
2018/3/20,3.7906,198.5865,96.34783882
2018/3/21,3.763,198.6832,96.37346646
2018/3/22,3.748,198.9176,96.38740024
2018/3/23,3.7005,199.3412,96.43155047
2018/3/26,3.7307,199.5182,96.40347554
2018/3/27,3.7432,199.3423,96.3918599
2018/3/28,3.7406,199.3511,96.39427572
2018/3/29,3.7456,199.2294,96.38963002
2018/3/30,3.7407,199.4176,96.3941828
2018/4/2,3.7357,199.5216,96.39882895
2018/4/3,3.7507,199.2607,96.38489186
2018/4/4,3.7234,199.4724,96.41026037
2018/4/9,3.6959,199.9592,96.43582822
2018/4/10,3.7159,199.9451,96.41723207
2018/4/11,3.7109,200.2805,96.42188044
2018/4/12,3.7109,200.4538,96.42188044
2018/4/13,3.7062,200.6823,96.42625031
2018/4/16,3.6561,201.341,96.47285591
2018/4/17,3.6512,201.4437,96.47741657
2018/4/18,3.5013,203.24,96.61714394
2018/4/19,3.5064,203.2436,96.61238339
2018/4/20,3.5215,203.244,96.59829118
2018/4/23,3.6019,202.7717,96.52332631
2018/4/24,3.5855,202.8893,96.5386082
2018/4/25,3.6118,202.4083,96.51410361
2018/4/26,3.6344,202.1476,96.49305636
2018/4/27,3.6364,201.9592,96.49119421
2018/5/2,3.6665,201.537,96.46317759
2018/5/3,3.6467,201.7701,96.4816053
2018/5/4,3.6319,202.1795,96.49538414
2018/5/7,3.6518,202.1394,96.4768581
2018/5/8,3.6922,201.8039,96.4392693
2018/5/9,3.7074,201.7089,96.42513456
2018/5/10,3.6924,201.9726,96.43908329
2018/5/11,3.6882,202.1523,96.44298966
2018/5/14,3.6937,202.1904,96.43787424
2018/5/15,3.7151,201.9849,96.41797578
2018/5/16,3.7076,201.9886,96.42494861
2018/5/17,3.712,202.0128,96.42085776
2018/5/18,3.7099,202.0403,96.42281017
2018/5/21,3.6939,202.2563,96.43768823
2018/5/22,3.67,202.4515,96.4599209
2018/5/23,3.64,202.6386,96.48784253
2018/5/24,3.6501,202.8036,96.47844045
2018/5/25,3.6126,203.1629,96.51335841
2018/5/28,3.6101,203.3666,96.51568718
2018/5/29,3.6001,203.3694,96.52500335
2018/5/30,3.5976,203.5008,96.52733268
2018/5/31,3.6129,203.3379,96.51307897
2018/6/1,3.6202,203.2839,96.50627966
2018/6/4,3.6532,202.9627,96.47555502
2018/6/5,3.6602,202.8587,96.46904019
2018/6/6,3.6602,202.8785,96.46904019
2018/6/7,3.6702,202.796,96.45973481
2018/6/8,3.6453,203.1426,96.48290854
2018/6/11,3.6502,202.9997,96.47834736
2018/6/12,3.6853,202.7149,96.44568709
2018/6/13,3.6627,202.8841,96.46671368
2018/6/14,3.6227,203.2361,96.50395135
2018/6/15,3.6028,203.6851,96.52248781
2018/6/19,3.5603,204.2093,96.56209957
2018/6/20,3.6054,203.8931,96.52006556
2018/6/21,3.5753,204.206,96.54811524
2018/6/22,3.5604,204.289,96.56200633
2018/6/25,3.5803,204.2246,96.54345469
2018/6/26,3.5804,204.2838,96.54336149
2018/6/27,3.5529,204.5372,96.569
2018/6/28,3.5304,204.8972,96.5899871
2018/6/29,3.4756,205.602,96.64114052
2018/7/2,3.4668,205.7302,96.64935999
2018/7/3,3.4955,205.5454,96.62255847
2018/7/4,3.5107,205.4712,96.60836996
2018/7/5,3.5005,205.4818,96.61789073
2018/7/6,3.5259,205.3822,96.59418561
2018/7/9,3.5432,205.1631,96.57804665
2018/7/10,3.5431,205.1084,96.57813992
2018/7/11,3.5107,205.5699,96.60836996
2018/7/12,3.5158,205.5389,96.60361027
2018/7/13,3.4858,205.8551,96.63161516
2018/7/16,3.4808,205.9752,96.63628422
2018/7/17,3.4808,206.0331,96.63628422
2018/7/18,3.4708,206.1886,96.64562369
2018/7/19,3.4409,206.4017,96.67355949
2018/7/20,3.5135,205.7656,96.60575674
2018/7/23,3.5186,205.7802,96.60099731
2018/7/24,3.5615,205.3181,96.56098067
2018/7/25,3.5614,205.3098,96.56107391
2018/7/26,3.5361,205.5608,96.5846695
2018/7/27,3.5212,205.7832,96.59857111
2018/7/30,3.5213,205.8607,96.5984778
2018/7/31,3.4812,206.3853,96.63591068
2018/8/1,3.4638,206.4338,96.6521624
